  ID       E_NAME            cluster      X(m)         Y(m)         Z(m)
02P121  P-KARIYA               A5    -3412582.773  4088751.280  3497865.675
02P122  P-HOSOJIMA             A5    -3582625.725  4025348.908  3400664.254
02P123  P-AKUNE                A5    -3493261.924  4135025.260  3362089.518
02P124  P-OKINAWA              A5    -3512442.560  4524189.860  2796936.433
02P201  P-WAKKANAI             A1    -3519363.966  2780889.457  4519305.067
02P202  P-ABASHIRI             A1    -3730050.110  2681715.691  4409668.210
02P203  P-KUSHIRO              A1    -3798936.232  2722640.617  4325540.898
02P204  P-HAKODATE             A1    -3687263.720  3015354.800  4227576.867
02P205  P-OOFUNATO             A1    -3896902.821  3071711.683  3994052.515
02P206  P-MERA                 A3    -4000420.141  3377635.845  3630509.241
02P207  P-TOYAMA               A2    -3755155.822  3474321.999  3796308.430
02P208  P-KUSHIMOTO            A4    -3816227.381  3714594.683  3498134.909
02P209  P-HAMADA               A5    -3508722.233  3887786.243  3628551.750
02P210  P-NAGASAKI             A5    -3442441.575  4122053.368  3429305.807
02P211  P-ABURATSU             A5    -3597404.975  4079119.678  3320579.945
02P212  P-NAHA                 A5    -3498825.629  4532637.487  2800302.179
02P213  P-CHICHIJIMA           A3    -4489493.690  3483084.629  2887511.857
02S043  S-KAKEGAWA             A3    -3893959.405  3504054.351  3626784.845
02S044  S-MIYAKE               A3    -4022786.624  3434024.912  3553415.715
031102  HATANAGI-A             C3    -3883561.078  3474038.676  3667654.435
031103  TSUKUDE                A3    -3853404.228  3540516.715  3635243.639
031104  TOBA2                  A2    -3845284.707  3588076.692  3596335.464
031105  ISOBE                  A2    -3841801.724  3607439.924  3580754.393
031106  KISEI                  A4    -3819177.585  3638416.704  3573903.376
031107  MIEKUMANO2             A4    -3819659.419  3670611.763  3540316.136
031108  OOTOU                  A4    -3784453.546  3687493.842  3560994.275
031109  KANAYA                 A4    -3758026.919  3720131.859  3555005.204
031110  MINABEGAWA             A4    -3775416.594  3723179.879  3533169.966
031111  KUMANOGAWA             A4    -3808340.137  3694266.461  3527995.314
031112  SHIRAHAMA              A4    -3784865.570  3731602.766  3513969.574
031113  KOZA                   A4    -3818281.991  3708692.570  3502256.811
031114  TOKUSHIMAKATUURA       A4    -3713716.270  3777782.512  3540304.771
031115  NISHIIYAYAMA           A4    -3670675.234  3828152.762  3531886.046
031116  AIOI                   A4    -3716872.161  3784357.042  3530132.511
031117  OOZU                   A4    -3601061.888  3920970.606  3501459.291
031118  UWAJIMA2               A4    -3599574.055  3947514.032  3472766.473
031119  INO                    A4    -3658348.134  3864308.996  3504593.163
031120  YOSHIKAWA              A4    -3676521.596  3847281.946  3504292.696
031121  MUROTO3                A4    -3707827.292  3832039.340  3488086.044
031122  MUROTO4                A4    -3720411.076  3828707.621  3478831.820
031123  YUSUHARA2              A4    -3637236.696  3904005.927  3483109.155
031124  NAKAMURA2              A4    -3637131.770  3924710.194  3459584.228
031125  TOSASHIMIZU2           A4    -3655914.449  3922934.965  3441833.561
031126  TOSASHIMIZU3           A4    -3648540.611  3938595.642  3431824.850
031127  KISOKOMAGATAKE         A2    -3840203.656  3480316.332  3709758.890
031128  GIFU-A                 C2    -3789526.441  3567480.473  3674624.166
03P214  P-KUMANO               A4    -3822103.543  3668439.143  3539926.097
03P215  P-GOBOU                A4    -3760264.136  3738549.549  3532813.383
03P216  P-YUKI                 A4    -3725886.059  3779454.891  3525774.409
03S045  S-TENRYUU              A3    -3881953.994  3517153.689  3626744.269
03S046  S-ASAMAYAMA1           A2    -3850024.995  3408857.498  3763080.553
03S047  S-URAKAWA              A1    -3775301.471  2841380.049  4270557.836
041129  URESHINO               A4    -3807987.863  3622252.479  3601783.241
041130  WAKAYAMAOOTOU          A4    -3792527.635  3715222.862  3523336.703
041131  MONOBE                 A4    -3685198.035  3824024.198  3521102.525
041132  KUMAKOUGEN             A4    -3632299.854  3889277.186  3504837.086
041133  AINAN                  A4    -3615070.843  3946709.768  3457652.210
041134  YUSUHARA-A             C4    -3630537.019  3903827.461  3490495.439
041135  TOUHAKU-A              C5    -3591930.781  3758797.172  3682342.884
041136  YUUTOU-A               C3    -3878687.978  3537153.569  3610774.737
041137  NAOIRI-A               C5    -3536994.044  4014187.604  3461571.584
041138  TOYAMATATEYAMA-A       C2    -3788107.212  3459505.860  3781276.753
041139  NANTOU-A               C2    -3829313.575  3628744.950  3572645.087
049064  M-ASAMAKANBARA         A2    -3847417.014  3405304.707  3768844.360
049065  M-ASAMASUNATSUKA       A2    -3853670.872  3400292.662  3766967.856
049066  M-HORINOUCHI           A2    -3832542.496  3340313.859  3838879.912
049067  M-TOOKAMACHI           A2    -3825934.540  3351949.989  3835385.262
049068  M-UMINONAKAMICHI       A5    -3441573.408  4050100.716  3514294.303
